roulette;roulette;-1102;66,7383
roulette;ts2;-909,2;169,7308
roulette;random;-883,2;134,5026
ts2;roulette;-883,2;147,326
ts3;roulette;-794,8;109,8497
ts2;random;-788,8;148,5886
roulette;ts3;-785;104,669
ts3;ts2;-733,4;18,1395
ts2;ts2;-713,8;239,2283
ts3;ts3;-699,2;245,1688
ts3;random;-208,8;1189,0202
ts2;ts3;477;1726,0601
