(3, 0.1, ts3, random);74865,9696;2581,8355
(1, 0.25, ts3, random);74964,2607;2349,6463
(1, 0.0, ts2, roulette);74997,8832;2935,57
(5, 0.0, ts2, ts2);75054,2396;1911,7425
(3, 0.0, ts3, roulette);75135,6567;4431,5355
(1, 0.0, ts3, ts2);75175,3784;3301,5956
(1, 0.1, ts2, ts2);75258,9438;2953,5893
(5, 0.1, ts3, random);75279,7935;1623,128
(1, 0.0, ts2, random);75308,797;3633,9511
(5, 0.0, ts3, random);75462,3438;4243,4037
(3, 0.0, ts3, ts2);75682,9234;2832,6889
(5, 0.0, ts2, roulette);75713,6243;2142,518
(5, 0.1, ts2, random);75777,1455;3011,2519
(1, 0.25, ts2, ts2);75792,7275;1612,9532
(5, 0.1, ts2, ts2);75941,6041;1817,582
(1, 0.25, ts3, ts3);75990,2492;2912,9578
(3, 0.0, ts3, ts3);76114,5387;1810,1806
(5, 0.0, ts3, roulette);76150,5022;3311,8237
(5, 0.1, ts3, ts3);76189,8794;1242,9144
(1, 0.25, ts3, ts2);76249,693;3824,2332
(3, 0.1, ts3, ts2);76308,3468;3078,2639
(3, 0.25, ts3, ts3);76312,6057;3891,0184
(3, 0.25, ts3, ts2);76363,984;1606,0915
(1, 0.0, ts3, random);76519,0885;2253,6313
(5, 0.25, ts2, ts3);76573,311;1902,9758
(1, 0.0, ts2, ts2);76741,2555;2242,8727
(5, 0.0, ts3, ts2);76807,2873;936,1096
(3, 0.1, ts2, random);76918,4637;1665,188
(3, 0.0, ts3, random);76931,2121;1800,5863
(3, 0.1, ts3, ts3);76997,8103;1211,5696
(1, 0.1, ts3, random);77111,6797;3828,9922
(3, 0.1, ts2, ts2);77198,5539;3053,2183
(1, 0.1, ts2, ts3);77276,6458;2694,4933
(5, 0.1, ts3, ts2);77422,1984;3077,9164
(1, 0.0, ts2, ts3);77503,6281;1581,0616
(1, 0.1, ts3, ts2);77586,938;3119,5781
(1, 0.1, ts3, ts3);78069,6955;3673,5858
(5, 0.25, ts3, ts3);78413,6345;1917,3845
(1, 0.0, ts3, ts3);78434,3927;2954,2537
